No,ARO,Municipio,Ubicación,No. filtros ,Poblacion,Objeto,Tipo de filtro, Comunidad,Enfoque Diferencial,Lugar de entrega,COD. SISA,Fecha de entrega ,Año,Equipo,Responsable 
104,CALI,BUENAVENTURA,Barrio Santa Fe,17,1200,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa La anunciación sede principal,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
105,CALI,BUENAVENTURA,Barrio El Oriente,12,250,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa la anunciación sede Liceo Mayor Latino,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
106,CALI,BUENAVENTURA,Barrio San Luis,5,150,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa La Anunciación Sede Diego Luis Cordoba,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
107,CALI,BUENAVENTURA,Barrio La Transformación,5,140,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa La Anunciación sede Misioneros del Saber - PPL (Carcel),,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
108,CALI,BUENAVENTURA,Barrio Centro,20,688,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa San Rafael,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
109,CALI,BUENAVENTURA,Barrio Centro,1,18,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa sede feder Byte,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
110,CALI,BUENAVENTURA,Avenida Simón Bolívar - Doña Ceci,11,981,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano sede Central,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
111,CALI,BUENAVENTURA,CONTINENTE,10,252,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano Sede Alfonso López Pumarejo,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
112,CALI,BUENAVENTURA,CONTINENTE,11,310,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano Sede Estela Delgado de Navia,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
113,CALI,BUENAVENTURA,CONTINENTE,11,321,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano Sede Gerardo Valencia Cano,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
114,CALI,BUENAVENTURA,CONTINENTE,6,123,Institucion Educativa ,EKOFIL,Estudiantes,Comunidad Afro ,Institución Educativa Técnica Industrial Gerardo Valencia Cano Sede de enero,,6/08/2025,2025,SACYR,Vanessa Muñoz - SACYR
115,CARTAGO,EL DOVIO,EL DIAMANTE,31,124,Viviendas,EKOFIL,Campesinos,,,,11/09/2025,2025,ALCALDIA,Marco Gonzales - ARO Cartago
