CODIGO_ANTERIOR,MUNICIPIO,PERSONA_PRESTADORA,NOMBRE_SISTEMA,ARO,FECHA_VISITA_1_2,CONCEPTO_1_2,FUNCIONARIO_1_2,IRCA_1_2,OBSERVACION_1_2,COMPONENTE_AFECTADO,INTERVENCION_SUGERIDA,HALLAZGO_CLAVE,FECHA_MUESTREO_1_7,IRCA_1_7,CODIGO_LABORATORIO_1_7,RESULTADO_1_7,ESTADO_MUESTRA_1_7,PUNTO_MUESTREO_1_7,TIPO_ANALISIS_1_7,SOPORTE_SISA,TOTAL_VISITAS_1_2,TOTAL_MUESTREOS_1_7
44630,DAGUA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LOBOGUERRERO,ACUEDUCTO LOBOGUERRERO,3,2026-05-20,FAVORABLE CON REQUERIMIENTOS,MAURICIO ALZATE DIAZ,7.87,"Se realiza visita de inspección, vigilancia y control a la bocatoma y área de tratamiento, se observa desarenador en muy buenas condiciones, tanques de almacenamiento, sistema de desinfección operativo. No se observa macro medición y nivel de tanques, al tanque 2 debe revisarse la dosis de cloro aplicado. • Pendiente materializar los puntos de muestreo, se observan cuatro puntos. • Aunque no se observan larvas en boca y sistema, se hace énfasis sobre el control y prevención de estas de acuerdo con el decreto 0294/2016 decreto departamental.",Desinfección,Desinfección / cloración,"cloro, desinfeccion, desinfección. También menciona: Tratamiento / filtración, Captación / bocatoma",2026-04-14,,20260414-7725-VDM,Aceptada,Abierto,SD,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
101957,DAGUA,"ASOCIACION DE USUARIOS DEL ACUEDUCTO QUEBRADA LOS CHORROS, CORREGIMIENTO ATUNCELA, MUNICIPIO DE DAGUA - ASUACAT",ASUACAT,3,2026-05-08,DESFAVORABLE,DIEGO FERNANDO HOYOS TABORDA,43.30,-Se debe construir cerramiento en el área del tanque de almacenamiento -Realizar limpieza sobre el área del tanque y caseta -Implementar el sistema de desinfección -Se brindo capacitación sobre el decreto 0294/2016,Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tanque / almacenamiento, Protección sanitaria / fuente",,,,,,,,Visita 1.2,1,0
103022,DAGUA,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COLECTIVO DE LA VEREDA DE MACHADO,ASOCIACIÓN DE USUARIOS RURAL VEREDA MACHADO ACUEDUCTO MACHACHADO,3,2026-05-16,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,0.00,-SE DEBE INSTALAR MACROMEDICION Y CONTROL DE NIVEL EN EL TANQE DE ALMACENAMIENTO. -DIGITALIZAR PLANOS DE LA RED DE DISTRIBUCION. -CONSTRUIR PUNTOS DE MUESTREO. -SE BRINDÓ CAPACITACIÓN SOBRE DECRETO 0294/2016 SIN NINGUNA NOVEDAD.,Almacenamiento,Tanque / almacenamiento,"almacenamiento. También menciona: Red / conducción, Operación y mantenimiento",2026-03-03,0.00,20260303-7022-VIG,Aceptada,Cerrado,0003,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
34630,DAGUA,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL VILLAHERMOSA ACUEHERMOSA,PTAP ACUEHERMOSA,3,2026-05-22,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,7.19,• Se debe realizar limpieza general de las instalaciones de la planta. • Rehabilitar los filtros rápidos instalados. • Se debe instalar macro medición y micro medición. • Se brinda capacitación sobre decreto 0244/2016 sin novedad.,Tratamiento,Tratamiento / filtración,filtro. También menciona: Operación y mantenimiento,2026-06-10,54.14,20260610-8848-VIG,Aceptada,Cerrado,2402,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
45411,DAGUA,"ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDAL ""LA ROSITA E.S.P."" - ASO ACUEDUCTO LA ROSITA E.S.P.",PTAP LA ROSITA,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-05-05,0.00,20260505-8159-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Muestreo 1.7,0,2
115850,DAGUA,ASOCIACION DE USUARIOS DEL SERVICIO DE ACUEDUCTO LA BALASTRERA,LA BALASTRERA.,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-03-03,30.22,20260303-6976-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
32190,DAGUA,ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE EL QUEREMAL ASUAQ,PTAP QUEREMAL,3,2026-04-11,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,0.00,"-SE RECOMIENDA EMPEZAR A TRABAJAR EN LA RADICACION DE PERDIDAS DEL SISTEMA, SE TIENE EN LA ACTUALIDAD PERDIDAS CERCANAS AL 40%. -SE DEBE ACTUALIZAR LOS PLANOS Y EL CATASTRO DE REDES. -SE BRINDO CAPACITACIONES EN EL DECRETO 0294/2016",Red de distribución,Red / conducción,red. También menciona: Operación y mantenimiento,2026-05-13,0.00,20260513-8332-VIG,Aceptada,Cerrado,0111,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
111037,DAGUA,ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LA VEREDA EL CHILCAL,EL CHILCAL,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-04-21,0.00,20260421-7868-VIG,Aceptada,Cerrado,0004,Fisicoquimico y Microbiologico,Muestreo 1.7,0,2
35015,DAGUA,ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DEL ACUEDUCTO SAN VICENTE KM. 95,PTAP CAMELIAS KM 95,3,2026-04-11,FAVORABLE CON REQUERIMIENTOS,MAURICIO ALZATE DIAZ,44.32,"SE REALIZA INSPECCION EN ACUEDUCTO, EVIDENCIANDO DOBLE SISTEMA DE FILTRACION, TANQUE EN CONCRETO CIRCULAR, DESINFECCION EN OPERACION NO SE EVIDENCIA MACROMEDICION NI CONTROL DE NIVEL DE TANQUES, FILTRO Y TANQUE CUENTA CON VALVULAS DE PISA Y TIENEN VENTAJAS. EL TANQUE CUENTA CON RESPIRADERO Y DOS PUNTOS DE INSTALACION PARA RESPIRADEROS QUE ESTAN PENDIENTES POR INSTALAR. -SE SOCIALIZA AL ENCARGADO SOBRE EL CONTROL Y PREVENCION DE LARVAS, DECRETO DEPARTAMENTAL 0294/2016. -SE HIZO UN AJUSTE EN LA DOSIFICACION DE CLORO, AJUSTAN MANGUERA DE EMPUJE DEL FLUIDO -PENDIENTE MATERIALIZAR PUNTOS DE MUESTREO",Desinfección,Desinfección / cloración,"cloro, desinfeccion, desinfección, dosificacion. También menciona: Tratamiento / filtración, Tanque / almacenamiento",2026-05-13,8.63,20260513-8341-VIG,Aceptada,Cerrado,2422,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
112959,DAGUA,ASOCIACIÓN DE USUARIOS DEL SERVICIO DEL ACUEDUCTO EL TRAPICHE - LA YOLOMBA,PTAP LA YOLOMBA,3,2026-06-12,DESFAVORABLE,DIEGO FERNANDO HOYOS TABORDA,55.25,1. Se debe habilitar de manera urgente el sistema de desinfección. 2. Se debe implementar macromedición y micromedición. 3. Manejar cerramiento del área del tanque. 4. Se brinda capacitación sobre decreto 0294/2016 sin novedad.,Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tanque / almacenamiento, Protección sanitaria / fuente",,,,,,,,Visita 1.2,1,0
34212,DAGUA,"ASOCIACION DE USUARIOS, ACUEDUCTO SAN JOSE DEL SALADO - ACUASALADO",ACUASALADO,3,2026-04-22,DESFAVORABLE,MAURICIO ALZATE DIAZ,68.28,-Se observa la desinfección fuera de servicio -Se debe documentar las actividades realizadas -Se socializa sobre el control y prevención de larvas decreto 0294/2016 decreto departamental. -No se visualiza larvas,Desinfección,Desinfección / cloración,"desinfeccion, desinfección",2026-04-21,62.02,20260421-7841-VIG,Aceptada,Cerrado,0003,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
38166,DAGUA,ASOCIACION EMPRESA COMUNITARIA ACUASALUD ALTO DE LAS TORTOLAS,,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-06-02,0.00,20260602-8664-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
105133,DAGUA,ASOCIACION EMPRESA COMUNITARIA ACUEDUCTO BORRERO AYERBE - ECASP. ESP. - KM 26 PALO ALTO,ECASP. ESP. - KM 26 PALO ALTO,3,2026-02-14,FAVORABLE CON REQUERIMIENTOS,DIEGO FERNANDO HOYOS TABORDA,13.69,"1. Se debe implementar un sistema de almacenamiento, se clora en línea y se envía directo a los usuarios. 2. Se brinda capacitación sobre decreto 0294/2016. Sin encontrar novedad en cuanto a larvas.",Almacenamiento,Tanque / almacenamiento,almacenamiento. También menciona: Operación y mantenimiento,2026-06-24,,20260624-9072-VIG,Aceptada,Abierto,0003,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,5
105134,DAGUA,ASOCIACION EMPRESA COMUNITARIA ACUEDUCTO BORRERO AYERBE - ECASP. ESP. - KM 28 AMBICHINTE,ECASP. ESP. - KM 28 AMBICHINTE,3,2026-02-14,FAVORABLE CON REQUERIMIENTOS,DIEGO FERNANDO HOYOS TABORDA,30.12,1. Se debe rehabilitar el tanque de almacenamiento de carácter urgente. 2. Se requiere gestionar lo referente para la habilitación de los filtros lentos y rápidos. 3. Se brinda capacitación sobre decreto 0294/2016 sin encontrar novedad.,Tratamiento,Tratamiento / filtración,"filtro. También menciona: Tanque / almacenamiento, Operación y mantenimiento",2026-06-24,,20260624-9086-VIG,Aceptada,Abierto,0029,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
33510,DAGUA,ASOCIACION EMPRESA COMUNITARIA DE ACUEDUCTO DE BORRERO AYERBE ECASP. ESP. - KM. 30,ECASP. ESP. - KM. 30 BORRERO AYERBE,3,2026-02-14,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,0.00,1. Se debe gestionar lo necesario para estimar y controlar el porcentaje de perdidas. 2. Los filtros lentos se encuentran sin lecho biológico. 3. Se brinda capacitación sobre decreto 0294/2016.,Tratamiento,Tratamiento / filtración,filtro. También menciona: Operación y mantenimiento,2026-06-24,,20260624-9068-VIG,Aceptada,Abierto,0023,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,3
110058,DAGUA,ASOCIACION EMPRESA COMUNITARIA DE ACUEDUCTO DE LA PARCELACION HATOCHICO - SAN DIEGO - ACUASALUD HATOCHICO - SAN DIEGO,ACUASALUD HATOCHICO,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-04-28,0.00,20260428-8025-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
104288,DAGUA,ASOCIACIÓN JUNTA ADMINISTRADORA DE ACUEDUCTO CORREGIMIENTO DE ZABALETAS,ACUEDUCTO ZABALETAS,3,2026-05-12,FAVORABLE CON REQUERIMIENTOS,MAURICIO ALZATE DIAZ,7.87,"Se realiza visita de inspección, vigilancia y control al sistema de tratamiento, se observa caseta con elementos para desinfección al momento sin operar, se visualiza tanque sin respiraderos, se observan válvulas en la salida a distribución, no hay macro medición ni control de larvas decreto departamental 0294/2016. La tapa de inspección debe acondicionarse para evitar contaminación externa. Mencionan que estan en proceso de construir o abastecer el sistema con ampliación de tanque, instalación de filtros para mejoramiento del proceso de tratamiento.",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tratamiento / filtración, Tanque / almacenamiento",,,,,,,,Visita 1.2,1,0
32191,DAGUA,ASOCIACION RURAL ACUEDUCTO VEREDA CENTELLA - PARTE ALTA,CENTELLA - PARTE ALTA,3,2026-04-15,DESFAVORABLE,MAURICIO ALZATE DIAZ,58.20,"SE REALIZA INSPECCION AL ACUEDUCTO Y BOCATOMA, SE EVIDENCIA FILTROS, TANQUE EN CONCRETO DE ALMACENAMIENTO, SE EVIDENCIA CASETA DE DESINFECCION AL MOMENTO SIN OPERAR, NO HAY MACROMEDICION NI CONTROL EN NIVEL EN TANQUE, EL TANQUE NO CUENTA CON RESPIRADEROS, SE EVIDENCIA TAPA EN CONCRETO DEL TANQUE QUE DEBE MEJORAR DADO QUE PERMITE INGRESO DE RESIDUOS EN PRECENCIA DE LLUVIAS, DURANTE EL RECORRIDO SE SOCIALIZA EN SISTEMA Y BOCATOMA SOBRE EL CONTROL Y PREVENCION DE LARVAS (DECRETO 0294/2016) DECRETO DEPARTAMENTAL. PENDIENTE MATERIALIZAR PUNTO DE MUESTREO.",Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Tratamiento / filtración, Captación / bocatoma",2026-06-22,,20260622-8982-VIG,Aceptada,Abierto,0001,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,3
135368,DAGUA,CONDOMINIO CAMPESTRE COLINAS DE TOCOTA,CONDOMINIO COLINAS DE TOCOTA,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-06-02,91.73,20260602-8690-VIG,Aceptada,Cerrado,0005,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
124279,DAGUA,CONJUNTO CAMPESTRE AMBICHINTE,,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-05-13,0.00,20260513-8315-VIG,Aceptada,Cerrado,SD,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
134185,DAGUA,EMPRESA COMUNITARIA ACUEDUCTO RURAL COLECTIVO LAS BRISAS - ECOABRISAS,ECOABRISAS,3,2026-03-13,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,4.51,-Se debe cambiar la tapa del tanque de almacenamiento -Proteges el codo de la tuberia de condución y mejorar el viaducto -Gestionar lo pertinente para la filtración -Se brindo capacitación sobre el decreto 0244/2016 sin novedad,Tratamiento,Tratamiento / filtración,"filtracion, filtración. También menciona: Tanque / almacenamiento, Red / conducción",2026-05-27,0.00,20260527-8573-VIG,Aceptada,Cerrado,2402,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
35014,DAGUA,EMPRESA COMUNITARIA ACUEDUCTO RURAL EL PALMAR - ECOAREPAL - LA VÍBORA,ECOAREPAL LA VIBORA,3,2026-03-14,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,0.00,"Se debe revisar el sistema de filtración, hay rebose en uno de ellos -instalar macro y micro medición - Gestionar lo prontamente para construir el tanque de almacenamiento de la nueva bocatoma -se brindo capacitación sobre el decreto 0294/2016 sin novedad",Tratamiento,Tratamiento / filtración,"filtracion, filtración. También menciona: Captación / bocatoma, Tanque / almacenamiento",2026-06-02,0.00,20260602-8704-VIG,Aceptada,Cerrado,0912,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,3
113450,DAGUA,EMPRESA COMUNITARIA ACUEDUCTO RURAL EL PALMAR - ECOAREPAL - LA VIRGEN,ECOAREPAL LA VIRGEN,3,2026-03-14,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,0.00,-Se debe gestionar lo necesario para construir el sistema de filtración -Implementar macro y micro medición -Se debe reforzar los muros de la bocatoma para disminuir la socavación -Se brindo capacitación sobre el decreto 0294/2016 sin novedad.,Tratamiento,Tratamiento / filtración,"filtracion, filtración. También menciona: Captación / bocatoma, Operación y mantenimiento",2026-06-02,0.00,20260602-8706-VIG,Aceptada,Cerrado,0902,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
28231,DAGUA,EMPRESA DE SERVICIO PRIVADO ACUASALUD EL CARMELO,ACUASALUDC EL CARMELO,3,2026-03-05,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,0.00,"-Terminar las adecuaciones de la tubería, para independizar los tanques de almacenamiento. -Construir las cámaras o los macro medidores. -Se brindo capacitación sobre el decreto 0294/2016 y no se evidencia focos de mosquitos.",Almacenamiento,Tanque / almacenamiento,"tanque, almacenamiento. También menciona: Red / conducción, Operación y mantenimiento",2026-06-02,0.00,20260602-8663-VIG,Aceptada,Cerrado,0003,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
30197,DAGUA,JUNTA ADMINISTRADORA ACUEDUCTO AGUAS CLARAS,AGUAS CLARAS,3,2026-02-04,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,8.80,"-SE RECOMIENDA SUBIR LA DOSIFICACION DEL CLORO, EN EL ANALISIS CON LABORATORIO EXTERNO REGISTRO 0.8 mg -GESTIONAR LO PERTINENTE PARA LA MACRO Y LA MICROPROGRAMACION -SE BRINDO CAPACITACION SOBRE EL DECRETO 0294/2016",Desinfección,Desinfección / cloración,"cloro, dosificacion, dosificación. También menciona: Operación y mantenimiento",2026-04-28,0.00,20260428-8003-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
128439,DAGUA,JUNTA ADMINISTRADORA ACUEDUCTO PARAGUITAS JAACUPAR,JAACUPAR,3,2026-03-06,FAVORABLE CON REQUERIMIENTOS,DIEGO FERNANDO HOYOS TABORDA,51.58,-Se requiere construir los puntos de muestreo concertados. -Se debe medir cloro y PH en red. -Gestionar lo necesario para solucionar el rebose con los filtros. -Se brindo capacitación sobre el decreto 0294/2016,Desinfección,Desinfección / cloración,"cloro. También menciona: Tratamiento / filtración, Tanque / almacenamiento",2026-05-05,35.46,20260505-8161-VIG,Aceptada,Cerrado,002,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
109610,DAGUA,JUNTA ADMINISTRADORA DE ACUEDUCTO PEÑAS RUCIAS VEREDA EL JORDANCITO CORREGIMIENTO DE SAN BERNARDO MUNICIPIO DE DAGUA VALLE - J.A.A.J.,PTAP PEÑAS RUCIAS,3,2026-03-07,FAVORABLE,DIEGO FERNANDO HOYOS TABORDA,0.00,-Se debe gestionar necesario para la implementación de la filtración lenta. -Construir las tapas de los tanques con sus bisagras correspondientes. -Regular los caudales de las medidas operativas. -Se brindo capacitación sobre el decreto 0294/2016,Tratamiento,Tratamiento / filtración,"filtracion, filtración. También menciona: Tanque / almacenamiento, Operación y mantenimiento",2026-03-03,0.00,20260303-7016-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
39037,DAGUA,"JUNTA ADMINISTRADORA DE AGUAS, VEREDA EL JORDAN, MUNICIPIO DE DAGUA - ACUASALUD E.S.P.",ACUASALUD E.S.P EL JORDAN,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-05-05,0.00,20260505-8160-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
51613,DAGUA,JUNTA DE ACCIÓN COMUNAL EL DIVISO,PTAP EL DIVISO,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-03-03,30.22,20260303-6984-VIG,Aceptada,Cerrado,0004,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
145509,DAGUA,JUNTA DE ACCIÓN COMUNAL LA ESMERALDA,PTAP LA ESMERALDA,3,2026-01-28,DESFAVORABLE,DIEGO FERNANDO HOYOS TABORDA,61.18,1 SE DEBE IMPLEMENTAR DE CARÁCTER URGENTE LO DIFERENTE A LA DESINFECCIÓN 2 INSTALAR MACRO Y MICRO MEDICIÓN 3 DOCUMENTAR PROCEDIMIENTOS Y PROTOCOLOS 4 DIGITALIZAR PLANOS DEL SISTEMA 5 SE BRINDÓ CAPACITACIÓN AL PRESIDENTE SOBRE EL DECRETO 0294-2026 NO SE EVIDENCIA ZANCUDOS O LARVAS,Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Operación y mantenimiento",2026-05-20,57.55,20260520-8423-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,2
135197,DAGUA,JUNTA DE ACCIÓN COMUNAL VEREDA BENHUR,"PTAL TANQUE 1 (ALTO), PTAP TANQUE 2 (BAJO).",3,2026-06-13,DESFAVORABLE,DIEGO FERNANDO HOYOS TABORDA,60.37,1. Se debe rehabilitar de manera urgente el sistema de desinfección. 2. Se debe instalar macromedición y micromedición. 3. Documentar los manuales de operación y mantenimiento del sistema. 4. Se brinda capacitación sobre decreto 0294/2016,Desinfección,Desinfección / cloración,"desinfeccion, desinfección. También menciona: Operación y mantenimiento",2026-05-05,56.74,20260505-8162-VIG,Aceptada,Cerrado,1902,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
135283,DAGUA,PARCELACIÓN EL CORTIJO DEL PALMAR,,3,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-05-13,0.00,20260513-8336-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
87088,EL AGUILA,ACUEDUCTO RURAL ESPARTA,ACUEDUCTO RURAL VEREDA ESPARTA,1,2026-06-02,DESFAVORABLE,EDWARD RAUL JAIMES VERA,88.26,"SE DEBE ELABORAR Y PRESENTAR UN PLAN DE CUMPLIMIENTO EN EL QUE SE DESCRIBAN LAS ACCIONES A IMPLEMENTOS PARA MEJORAR LA CALIFICACIÓN DE LOS ÍTEMS EVALUADOS EN LA PRESENTE ACTA Y ASÍ MEJORAR LOS INDICADORES DE IRABA, IRCA Y BPS DE ESTA MANERA SE MEJORARÁ EL CONCEPTO SANITARIO, LA CALIDAD DEL AGUA QUE ENTREGA EL SISTEMA. EL PLAN DE CUMPLIMENTO DEBE SER PRESENTADO EN UN PLAZO DE TREINTA (30) DÍAS. NOTA: DECRETO DEPARTAMENTAL 0294/2016 NO HAY CRIADERO DE VECTORES.",Protección sanitaria,Protección sanitaria / fuente,"criadero, vectores",2026-01-27,91.24,20260127-6304-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
116907,EL AGUILA,ASOCIACIÓN DE USUARIOS ACUEDUCTO EL NARANJO,ACUEDUCTO RURAL EL NARANJO,1,2026-05-07,DESFAVORABLE,EDWARD RAUL JAIMES VERA,60.20,"SE RECOMIENDA ORGANIZAR UNA JUNTA ADMINISTRATADORA DEL AGUA QUE SE ENCARGUE DE ADMINISTRAR Y OPERAR EL SISTEMA DE ABASTECIMIENTO, ASI COMO DESIGNAR A UN FONTANERO Y CON EL APOYO DE LA ADMINISTRACION MUNICIPAL SE ELABORE Y PRESENTE UN PLAN DE CUMPLIMIENTO EN EL QUE SE DESCRIBAN LAS ACCIONES A IMPLEMENTAR PARA MEJORAR LOS INDICADORES EVALUADOS DE IRABA,IRCA, Y BPS, PARA ASI MEJORAR EL CONCEPTO SANITARIO Y LA CALIDAD DEL AGUA DE CONSUMO. ANALIZAR LA POSIBILIDAD DE IMPLEMENTAR SOLUCIONES INDIVIDUALES PARA EL TRATAMIENTO DEL AGUA E INCLUIR EN EL PLAN DE CUMPLIMIENTO. EL TIEMPO PARA ELABORACION Y PRESENTACION DE PLAN DE CUMPLIMIENTO ES DE TREINTA DIAS. NOTA DEPORTAMENTAL 0294-2016 NO HAY CRIADERO DE VECTORES",Tratamiento,Tratamiento / filtración,"tratamiento, soluciones individuales. También menciona: Protección sanitaria / fuente, Operación y mantenimiento",2026-01-27,58.39,20260127-6312-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
128788,EL AGUILA,ASOCIACION DE USUARIOS ACUEDUCTO LA ALBANIA,ACUEDUCTO RURAL LA ALBANIA,1,2026-01-29,DESFAVORABLE,EDWARD RAUL JAIMES VERA,58.39,"SE DEBE ELABORAR Y PRESENTAR UN PLAN DE CUMPLIMIENTO EN EL QUE SE DESCRIBAN LAS ACCIONES A REALIZAR PARA MEJORAR LA EVALUACIÓN DE LOS ÍTEMS CALIFICADOS CON 2, 4 O 10 PRESPECTIVAMENTE Y ASÍ MEJORAR LOS INDICADORES DE IRABA, BPS E IRCA Y POR CONSIGUIENTE EL CONCEPTO SANITARIO Y LA CALIDAD DE AGUA. SE RECOMIENDA ANALIZAR LA OPCIÓN DE IMPLEMENTAR SOLUCIONES INDIVIDUALES PARA EL TRATAMIENTO DEL AGUA . EL CUMPLIMIENTO DEBE PRESENTARSE EN UN PLAZO DE TREINTA (30) DÍAS DECRETO DEPARTAMENTAL 0294/2016 NO HAY CRIADERO DE VECTORES.",Tratamiento,Tratamiento / filtración,"tratamiento, soluciones individuales. También menciona: Protección sanitaria / fuente",2026-02-18,60.15,20260218-6782-VIG,Aceptada,Cerrado,0001,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
80785,EL AGUILA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO CAÑAVERAL,ACUEDUCTO RURAL VEREDA CAÑAVERAL,1,2026-06-17,DESFAVORABLE,SAIR HAIRTON IBARGUEN RENTERIA,59.77,"DURANTE LA VISITA AL SISTEMA DE ABASTO SE IDENTIFICA QUE NO SE ESTA CLORANDO, ESTO DEBIDO A LOS ALTOS COSTOS DEL INSUMO, NO SE EVIDENCIA DOCUMENTACION REFERENTE A LA OPERACION Y MANTENIMIENTO DEL ACUEDUCTO RURAL, ADICIONAL LOS INDICADORES DEL IRABA, IRCA Y BPS SE ENCUENTRAN ALTOS ES NECESARIO ELABORAR PLAN DE ACCION Y MEJORAMIENTO DE ACUERDO A LOS ITEMS VALORADOS NEGATIVAMENTE EN LA PRESENTE ACTA # 0893 30 DIAS DE PLAZO ELABORACION, SE LAS ORIENTA SOBRE LA ADQUISICION DE DISPOSITIVOS INTRADOMICILIARIOS FILTROS DE AGUA, SE DEBE ADELANTAR LA GESTION. NOTA DECRETO DEPARTAMENTAL 0294-2016 NO SE EVIDENCIA CRIADEROS DE MOSQUITOS.",Tratamiento,Tratamiento / filtración,"filtro, dispositivos intradomiciliarios. También menciona: Protección sanitaria / fuente, Operación y mantenimiento",2026-01-27,66.40,20260127-6285-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Visita 1.2 + muestreo 1.7,1,1
91664,EL AGUILA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA CEDALIA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO DE LA CEDALIA,1,,,,,,Sin dato,Sin observación técnica,Sin observación para clasificar,2026-02-18,60.15,20260218-6788-VIG,Aceptada,Cerrado,0002,Fisicoquimico y Microbiologico,Muestreo 1.7,0,1
